Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1,Ignazio Abate,it ITA,DF,Milan,31,1986,19,15,1302,14.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.4,27,88,43,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,2018-2019,Italy,1,1,100.0,0.07,0.07,0.00,0.00,12.5,0,0.08,-0.1,-0.1,763,925,82.5,13052,4961,352,375,93.9,342,403,84.9,60,114,52.6,0.6,-0.4,7,69,11,5,23,1.59,23,0,0,0,0,1,0.07,1,0,0,0,0,0,34,19,16,13,5,14,63.6,8,19,13,18,52,50,0,1070,67,11,1070,4,40.0,6,60.0,646,4,8,2,695,0,13,0,26,0,1,0,71,13,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,0,4,93,0,0,0,69,38.1,82,8,4,17,19,2.11,22,13,+9,+0.62,+0.20,19.9,14.2,+5.7,+0.40,+0.32
2,Francesco Acerbi,it ITA,DF,Lazio,30,1988,37,37,3309,36.8,3,1,4,3,0,0,4,1,3.4,3.4,1.0,4.3,39,135,17,0.08,0.03,0.11,0.08,0.11,0.09,0.03,0.12,0.09,0.12,Matches,2018-2019,Italy,18,7,38.9,0.49,0.19,0.17,0.43,9.8,0,0.20,-0.4,-0.4,1560,1800,86.7,30496,11601,547,598,91.5,765,828,92.4,216,313,69.0,0.6,0.0,10,111,7,1,31,0.84,27,0,0,3,0,2,0.05,1,0,0,1,0,0,40,30,22,13,5,12,75.0,4,50,18,61,101,169,1,2178,257,28,2178,9,81.8,2,18.2,1191,2,20,8,1306,1,24,3,6,0,0,0,226,96,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,15,15,0,0,0,89,96.8,89,36,0,,0,1.59,55,44,+11,+0.30,+1.11,58.7,45.2,+13.6,+0.37,+0.46
3,Afriyie Acquah,gh GHA,MF,Empoli,26,1992,28,19,1510,16.8,2,0,2,2,0,0,4,0,1.4,1.4,0.8,2.2,58,91,76,0.12,0.00,0.12,0.12,0.12,0.09,0.05,0.13,0.09,0.13,Matches,2018-2019,Italy,22,7,31.8,1.31,0.42,0.09,0.29,20.8,0,0.07,+0.6,+0.6,580,738,78.6,8818,2290,319,355,89.9,218,266,82.0,30,62,48.4,0.8,-0.8,11,66,12,3,44,2.62,34,0,4,2,0,1,0.06,1,0,0,0,0,0,27,9,9,12,6,4,36.4,7,11,10,12,39,16,0,901,22,29,901,27,77.1,8,22.9,623,9,32,21,690,0,27,1,34,0,0,0,88,22,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,4,8,0,0,0,54,44.2,73,5,9,14,6,1.11,20,29,-9,-0.54,-0.07,18.4,25.2,-6.8,-0.41,-0.20
4,Claud Adjapong,it ITA,"MF,FW",Sassuolo,20,1998,5,3,270,3.0,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,6,4,19,0.33,0.00,0.33,0.33,0.33,0.24,0.02,0.26,0.24,0.26,Matches,2018-2019,Italy,2,1,50.0,0.67,0.33,0.50,1.00,18.0,0,0.36,+0.3,+0.3,74,101,73.3,1068,286,41,52,78.8,25,30,83.3,3,4,75.0,0.0,-0.1,2,1,2,0,1,0.33,1,0,0,0,0,0,0.00,0,0,0,0,0,0,4,2,1,3,0,1,50.0,1,3,2,1,5,4,0,147,5,8,147,6,42.9,8,57.1,71,4,12,6,79,0,3,2,5,0,0,0,12,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,1,23,0,0,0,54,7.9,81,1,2,14,21,1.40,3,2,+1,+0.33,+0.56,2.2,4.1,-2.0,-0.65,-0.46
5,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,7,8,11,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.20,0.13,0.20,Matches,2018-2019,Italy,3,0,0.0,1.63,0.00,0.00,,17.0,0,0.08,-0.2,-0.2,77,117,65.8,1301,457,45,54,83.3,23,35,65.7,7,19,36.8,0.1,-0.1,3,5,1,1,8,4.34,4,2,1,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,50.0,1,1,0,3,4,6,0,137,7,4,137,5,71.4,2,28.6,73,0,0,1,79,0,2,0,14,0,0,0,8,6,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,1,16,0,6,0,55,4.9,76,1,1,14,13,0.33,3,5,-2,-1.08,-2.00,3.5,2.9,+0.6,+0.34,-0.51
6,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,2018-2019,Italy,2,0,0.0,1.12,0.00,0.00,,13.0,0,0.05,-0.1,-0.1,27,35,77.1,429,42,19,22,86.4,4,5,80.0,4,4,100.0,0.0,0.0,1,0,0,0,2,1.12,2,0,0,0,0,0,0.00,0,0,0,0,0,0,4,0,1,2,1,1,100.0,0,2,2,1,5,2,0,53,4,2,53,0,0.0,2,100.0,25,0,4,2,32,0,2,0,2,0,0,0,6,4,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0,0,0,40,4.7,69,0,2,12,7,1.50,2,5,-3,-1.68,-1.37,1.8,4.9,-3.2,-1.77,-1.38
7,Ola Aina,ng NGA,DF,Torino,21,1996,30,22,2160,24.0,1,3,4,1,0,0,5,1,1.4,1.4,2.5,4.0,62,97,96,0.04,0.12,0.17,0.04,0.17,0.06,0.11,0.17,0.06,0.17,Matches,2018-2019,Italy,24,5,20.8,1.00,0.21,0.04,0.20,19.5,0,0.06,-0.4,-0.4,861,1178,73.1,13729,5830,465,525,88.6,268,395,67.8,88,159,55.3,2.2,+0.5,25,53,30,11,57,2.37,37,6,7,4,2,5,0.21,3,1,0,0,1,0,54,36,32,20,2,23,47.9,25,30,27,39,93,59,2,1497,63,35,1497,30,49.2,31,50.8,658,6,35,23,761,0,31,4,63,0,0,0,167,41,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,2,7,238,0,0,0,72,63.2,86,15,8,34,2,1.63,31,23,+8,+0.33,-0.17,30.3,31.7,-1.4,-0.06,-0.08
8,Luis Alberto,es ESP,"MF,FW",Lazio,25,1992,27,25,1990,22.1,4,5,9,3,1,1,5,1,4.2,3.4,5.9,9.4,100,200,132,0.18,0.23,0.41,0.14,0.36,0.19,0.27,0.46,0.16,0.42,Matches,2018-2019,Italy,67,12,17.9,3.03,0.54,0.04,0.25,22.5,7,0.05,-0.2,-0.4,1115,1487,75.0,17984,6331,591,659,89.7,325,411,79.1,129,274,47.1,5.5,-0.9,76,136,54,7,154,6.97,103,34,4,2,1,10,0.45,4,4,0,2,0,0,53,22,15,29,9,21,38.2,34,23,20,10,63,10,0,1747,11,51,1746,24,58.5,17,41.5,1056,13,48,43,1212,0,23,3,171,0,0,0,117,14,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,12,18,27,46,69,0,74,58.2,78,9,2,21,4,1.44,30,22,+8,+0.36,+0.24,35.0,23.3,+11.7,+0.53,+0.42
9,Raúl Albiol,es ESP,DF,Napoli,32,1985,20,19,1713,19.0,1,0,1,1,0,0,4,0,0.3,0.3,0.4,0.7,4,81,2,0.05,0.00,0.05,0.05,0.05,0.01,0.02,0.04,0.01,0.04,Matches,2018-2019,Italy,4,1,25.0,0.21,0.05,0.25,1.00,10.0,0,0.07,+0.7,+0.7,1009,1131,89.2,22510,7869,250,260,96.2,545,591,92.2,205,258,79.5,0.7,-0.4,5,68,3,2,20,1.05,20,0,0,0,0,2,0.11,2,0,0,0,0,0,16,8,12,4,0,8,53.3,7,19,3,20,36,90,1,1292,130,7,1292,1,50.0,1,50.0,758,0,5,2,889,0,10,0,3,0,1,0,102,46,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,18,0,0,0,0,86,50.1,90,19,1,3,6,2.10,33,22,+11,+0.58,-0.85,30.4,21.2,+9.3,+0.49,-0.26
10,Allan,br BRA,MF,Napoli,27,1991,33,28,2616,29.1,1,3,4,1,0,0,10,0,1.0,1.0,2.5,3.6,49,236,45,0.03,0.10,0.14,0.03,0.14,0.03,0.09,0.12,0.03,0.12,Matches,2018-2019,Italy,25,2,8.0,0.86,0.07,0.04,0.50,25.4,0,0.04,0.0,0.0,1979,2231,88.7,31900,9338,1018,1089,93.5,733,795,92.2,165,211,78.2,2.9,+0.5,34,255,30,4,88,3.03,75,0,7,2,2,10,0.34,9,0,1,0,0,0,106,70,39,55,12,36,33.6,71,55,42,36,142,28,0,2582,70,26,2582,41,64.1,23,35.9,1757,14,34,42,1876,0,50,0,14,0,0,0,275,13,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,7,13,18,0,0,0,79,76.5,88,26,5,30,0,2.09,57,29,+28,+0.96,-0.16,45.8,30.5,+15.3,+0.53,-0.40
11,Bruno Alves,pt POR,DF,Parma,36,1981,33,33,2922,32.5,4,1,5,4,0,0,9,1,2.2,2.2,1.0,3.2,4,72,5,0.12,0.03,0.15,0.12,0.15,0.07,0.03,0.10,0.07,0.10,Matches,2018-2019,Italy,16,5,31.3,0.49,0.15,0.25,0.80,20.4,8,0.14,+1.8,+1.8,962,1245,77.3,22775,9654,221,260,85.0,505,592,85.3,232,360,64.4,1.1,0.0,10,57,3,2,24,0.74,18,3,1,0,1,2,0.06,2,0,0,0,0,0,15,8,11,4,0,4,57.1,3,36,8,29,44,210,0,1564,277,28,1564,3,100.0,0,0.0,739,0,6,1,811,1,31,0,17,0,1,1,129,102,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,1,22,0,0,0,0,89,85.4,89,31,0,,0,1.00,36,56,-20,-0.62,-0.62,34.5,57.7,-23.2,-0.71,-0.37
12,Joachim Andersen,dk DEN,DF,Sampdoria,22,1996,32,32,2880,32.0,0,1,1,0,0,0,7,0,1.0,1.0,0.7,1.7,25,154,3,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05,Matches,2018-2019,Italy,13,5,38.5,0.41,0.16,0.00,0.00,15.3,0,0.08,-1.0,-1.0,1804,2036,88.6,36128,13003,598,644,92.9,937,1000,93.7,254,359,70.8,0.5,+0.3,8,139,5,0,27,0.84,23,1,0,0,1,3,0.09,3,0,0,0,0,0,40,27,31,8,1,19,61.3,12,30,15,35,75,147,1,2328,277,17,2328,15,93.8,1,6.3,1363,1,10,6,1585,0,31,0,1,0,2,0,159,74,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,0,33,3,0,0,0,90,84.2,90,32,0,,1,1.50,52,42,+10,+0.31,+0.48,41.3,46.2,-5.0,-0.16,-0.24
13,Marco Andreolli,it ITA,DF,Cagliari,32,1986,3,1,106,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,2018-2019,Italy,1,1,100.0,0.85,0.85,0.00,0.00,10.8,0,0.03,0.0,0.0,65,72,90.3,1466,501,9,9,100.0,45,47,95.7,11,15,73.3,0.0,0.0,0,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,100.0,0,2,1,1,2,5,0,84,12,1,84,0,,0,,33,0,0,0,60,0,4,0,0,0,1,0,1,6,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,35,3.1,90,1,2,8,17,0.33,0,3,-3,-2.55,-2.14,0.4,2.1,-1.8,-1.49,-0.99
14,Marco Andreolli,it ITA,DF,Chievo,32,1986,8,7,646,7.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,2018-2019,Italy,1,1,100.0,0.85,0.85,0.00,0.00,10.8,0,0.03,0.0,0.0,65,72,90.3,1466,501,9,9,100.0,45,47,95.7,11,15,73.3,0.0,0.0,0,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,100.0,0,2,1,1,2,5,0,84,12,1,84,0,,0,,33,0,0,0,60,0,4,0,0,0,1,0,1,6,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,35,3.1,90,1,2,8,17,0.33,0,3,-3,-2.55,-2.14,0.4,2.1,-1.8,-1.49,-0.99
15,Cristian Ansaldi,ar ARG,"DF,MF",Torino,31,1986,24,23,1807,20.1,3,2,5,3,0,0,3,0,1.4,1.4,2.9,4.3,96,93,108,0.15,0.10,0.25,0.15,0.25,0.07,0.14,0.21,0.07,0.21,Matches,2018-2019,Italy,39,10,25.6,1.94,0.50,0.08,0.30,25.5,5,0.03,+1.6,+1.6,574,888,64.6,10975,4452,268,307,87.3,192,307,62.5,93,212,43.9,2.4,-0.9,35,53,47,30,66,3.29,40,10,9,2,1,5,0.25,3,0,1,0,0,1,50,26,19,21,10,15,50.0,15,21,17,15,65,31,0,1159,37,36,1159,53,66.3,27,33.8,632,9,48,33,660,0,22,2,147,0,0,0,114,3,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,3,25,152,7,3,1,75,52.8,77,13,1,25,4,1.71,23,15,+8,+0.40,+0.01,20.9,26.2,-5.3,-0.26,-0.50
16,Mirco Antenucci,it ITA,FW,SPAL,33,1984,35,22,2133,23.7,5,0,5,4,1,2,0,0,6.6,5.0,1.6,6.5,41,50,172,0.21,0.00,0.21,0.17,0.17,0.28,0.07,0.34,0.21,0.28,Matches,2018-2019,Italy,48,16,33.3,2.03,0.68,0.08,0.25,18.7,1,0.10,-1.6,-1.0,410,541,75.8,5440,1025,252,299,84.3,114,153,74.5,14,21,66.7,1.0,-1.6,23,31,11,2,64,2.70,46,0,3,7,2,5,0.21,3,0,1,0,1,0,11,9,5,1,5,1,10.0,9,14,14,5,16,5,0,764,4,73,762,20,47.6,22,52.4,557,14,77,45,611,0,29,17,29,0,0,0,54,34,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,1,4,0,0,0,61,62.4,88,19,13,15,3,1.00,26,35,-9,-0.38,-0.17,27.8,35.0,-7.2,-0.31,-0.30
17,Luca Antonelli,it ITA,DF,Empoli,31,1987,13,10,755,8.4,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.0,26,39,28,0.00,0.12,0.12,0.00,0.12,0.04,0.08,0.12,0.04,0.12,Matches,2018-2019,Italy,5,2,40.0,0.60,0.24,0.00,0.00,16.0,0,0.06,-0.3,-0.3,271,381,71.1,4089,1699,148,166,89.2,106,153,69.3,10,34,29.4,0.9,+0.3,7,25,8,0,11,1.31,8,0,0,1,1,2,0.24,2,0,0,0,0,0,13,11,4,5,4,7,41.2,10,19,15,16,29,25,1,490,37,18,490,5,71.4,2,28.6,259,4,12,4,277,0,10,3,8,0,0,0,46,10,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,2,46,0,0,0,58,22.1,67,4,3,27,8,0.92,10,18,-8,-0.95,-0.58,9.1,14.6,-5.5,-0.66,-0.46
18,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,2018-2019,Italy,1,1,100.0,1.55,1.55,0.00,0.00,35.0,0,0.02,0.0,0.0,31,39,79.5,435,179,19,22,86.4,10,12,83.3,2,3,66.7,0.0,0.0,0,2,0,0,1,1.55,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,1,1,0,0,0.0,2,2,1,0,2,3,0,45,3,0,45,1,100.0,0,0.0,25,0,0,5,28,0,1,0,0,0,0,0,6,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,58,1.7,,0,1,58,24,1.00,0,0,0,0.00,+1.34,0.1,0.6,-0.5,-0.77,-0.13
19,Joaquín Ardaiz,uy URU,FW,Frosinone,19,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Italy,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,5,40.0,17,0,2,4,50.0,0,0,,0,0,,0.0,0.0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,0,0,5,1,100.0,0,0.0,2,0,0,1,3,0,1,0,0,0,0,0,0,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,20,0.6,,0,1,20,1,0.00,0,0,0,0.00,+1.06,0.0,0.1,-0.1,-0.24,+0.37
20,Lorenzo Ariaudo,it ITA,DF,Frosinone,29,1989,19,19,1682,18.7,0,0,0,0,0,0,2,0,0.9,0.9,0.3,1.2,9,36,1,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,2018-2019,Italy,6,2,33.3,0.32,0.11,0.00,0.00,7.0,0,0.15,-0.9,-0.9,528,639,82.6,10727,4113,146,165,88.5,303,339,89.4,71,121,58.7,0.2,-0.3,4,29,1,0,14,0.75,13,1,0,0,0,0,0.00,0,0,0,0,0,0,20,14,15,4,1,6,60.0,4,31,11,14,34,103,0,823,149,13,823,3,100.0,0,0.0,413,1,2,1,455,0,15,1,1,0,0,1,62,47,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,1,1,1,0,0,0,89,49.2,89,17,0,,10,0.58,13,33,-20,-1.07,-0.03,18.9,28.4,-9.6,-0.51,+0.19
21,Nicolò Armini,it ITA,DF,Lazio,17,2001,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Italy,0,0,,0.00,0.00,,,,0,,0.0,0.0,20,25,80.0,400,182,7,9,77.8,11,13,84.6,2,3,66.7,0.0,0.0,0,2,1,0,1,2.37,1,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,1,50.0,1,1,1,0,1,0,0,27,1,0,27,0,,0,,14,0,0,1,18,0,1,0,0,0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,3,0,0,0,38,1.1,,0,1,38,1,1.00,2,1,+1,+2.37,+2.13,0.8,0.7,0.0,+0.12,-0.24
22,Kwadwo Asamoah,gh GHA,DF,Inter,29,1988,32,30,2671,29.7,0,1,1,0,0,0,6,0,0.2,0.2,1.8,2.1,90,189,153,0.00,0.03,0.03,0.00,0.03,0.01,0.06,0.07,0.01,0.07,Matches,2018-2019,Italy,9,1,11.1,0.30,0.03,0.00,0.00,28.0,0,0.03,-0.2,-0.2,1927,2217,86.9,30664,8604,1083,1146,94.5,623,741,84.1,169,232,72.8,2.7,-0.8,32,171,40,13,87,2.93,73,3,5,3,1,2,0.07,2,0,0,0,0,0,44,26,22,14,8,29,56.9,22,21,17,40,84,46,1,2475,77,20,2475,40,61.5,25,38.5,1540,12,36,23,1761,0,27,0,74,0,0,0,206,19,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,1,26,205,0,0,0,83,78.1,87,27,2,25,5,1.84,42,26,+16,+0.54,-0.42,48.8,31.2,+17.6,+0.59,-0.36
23,Emil Audero,it ITA,GK,Sampdoria,21,1997,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019,Italy,0,0,,0.00,0.00,,,,0,,0.0,0.0,868,1161,74.8,21390,14960,207,208,99.5,437,443,98.6,220,500,44.0,0.0,-0.1,2,1,0,0,6,0.17,3,3,0,0,0,0,0.00,0,0,0,0,0,0,4,3,4,0,0,3,100.0,0,0,0,1,5,21,4,1253,1153,0,1253,0,,0,,621,0,2,0,480,0,2,0,0,0,2,0,63,9,100.0,51,1.42,147,96,70.1,14,7,15,11,30.6,7,1,0,12.5,6,49.5,0.30,-0.5,-0.01,181,25.9,28.7,49.5,39.1,587,25,4.3,48,1.33,15.0,384,0,0,0,0,0,0,90,94.7,90,36,0,,2,1.36,58,51,+7,+0.19,-0.81,48.9,53.8,-4.8,-0.13,-0.29
24,Khouma Babacar,sn SEN,FW,Sassuolo,25,1993,29,16,1488,16.5,7,2,9,5,2,2,0,0,7.6,6.1,0.9,6.9,15,24,97,0.42,0.12,0.54,0.30,0.42,0.46,0.05,0.51,0.37,0.42,Matches,2018-2019,Italy,58,19,32.8,3.51,1.15,0.09,0.26,17.8,0,0.10,-0.6,-1.1,249,306,81.4,3298,396,158,182,86.8,62,72,86.1,12,14,85.7,0.5,+1.1,11,6,12,1,37,2.24,24,0,2,2,0,10,0.60,5,0,0,4,1,0,7,3,2,5,0,2,20.0,8,8,6,3,10,25,1,514,29,74,512,10,47.6,11,52.4,316,11,64,28,368,0,30,10,3,1,1,0,37,31,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,1,4,0,0,0,51,43.5,78,4,13,19,7,1.21,31,24,+7,+0.42,+1.08,22.7,23.1,-0.3,-0.02,+0.38
25,Milan Badelj,hr CRO,MF,Lazio,29,1989,23,14,1141,12.7,1,0,1,1,0,0,6,0,0.8,0.8,0.5,1.2,19,101,12,0.08,0.00,0.08,0.08,0.08,0.06,0.04,0.10,0.06,0.10,Matches,2018-2019,Italy,14,4,28.6,1.10,0.32,0.07,0.25,26.8,0,0.05,+0.2,+0.2,743,879,84.5,12498,4299,353,401,88.0,284,316,89.9,76,106,71.7,0.7,-0.5,10,75,12,4,32,2.52,26,2,1,2,1,2,0.16,1,0,1,0,0,0,33,20,10,19,4,16,43.2,21,27,18,33,66,20,1,1034,26,4,1034,29,78.4,8,21.6,552,3,10,9,703,0,25,0,17,0,0,1,90,16,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,6,3,1,2,1,50,33.4,69,4,9,19,12,1.30,15,22,-7,-0.55,-1.22,16.8,15.6,+1.2,+0.09,-0.39
26,Tiemoué Bakayoko,fr FRA,MF,Milan,23,1994,31,26,2301,25.6,1,1,2,1,0,0,6,1,1.7,1.7,1.6,3.2,49,156,45,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.13,0.06,0.13,Matches,2018-2019,Italy,25,6,24.0,0.98,0.23,0.04,0.17,17.5,0,0.07,-0.7,-0.7,1151,1335,86.2,18367,5725,584,655,89.2,461,514,89.7,73,97,75.3,1.6,-0.6,25,115,14,1,76,2.97,60,0,5,5,5,7,0.27,6,0,0,0,0,1,69,43,22,40,7,26,41.9,36,34,29,50,119,42,2,1679,74,30,1679,60,71.4,24,28.6,1071,5,55,42,1126,1,44,0,2,0,0,0,177,70,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,7,0,0,0,0,74,67.3,85,21,5,19,6,1.61,30,23,+7,+0.27,-0.69,29.5,30.2,-0.7,-0.03,-0.69
27,Keita Baldé,sn SEN,FW,Inter,23,1995,24,8,889,9.9,5,2,7,5,0,0,2,1,3.9,3.9,2.2,6.1,57,27,98,0.51,0.20,0.71,0.51,0.71,0.39,0.22,0.61,0.39,0.61,Matches,2018-2019,Italy,30,17,56.7,3.04,1.72,0.17,0.29,16.9,0,0.13,+1.1,+1.1,256,340,75.3,3416,578,164,182,90.1,62,82,75.6,13,29,44.8,2.3,-0.2,22,11,17,10,43,4.35,31,0,6,4,0,5,0.51,3,0,2,0,0,0,10,6,4,2,4,2,22.2,7,8,8,3,13,1,0,450,3,56,450,20,58.8,14,41.2,330,19,25,16,368,1,18,8,52,0,0,0,39,4,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,0,3,1,1,0,37,26.0,72,1,16,20,7,1.96,17,5,+12,+1.21,+0.79,16.3,9.7,+6.6,+0.67,-0.01
28,Andrija Balić,hr CRO,"FW,MF",Udinese,20,1997,4,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,2,0.00,0.00,0.00,0.00,0.00,0.08,0.18,0.26,0.08,0.26,Matches,2018-2019,Italy,1,0,0.0,3.33,0.00,0.00,,31.0,0,0.02,0.0,0.0,25,26,96.2,389,87,15,15,100.0,3,3,100.0,4,5,80.0,0.0,-0.1,1,0,1,0,2,6.67,2,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1,0,0,0,1,1,0,28,1,0,28,0,0.0,1,100.0,17,0,0,2,18,0,1,0,1,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,0,0,0,0,7,0.8,,0,4,7,8,1.00,0,1,-1,-3.33,-2.99,0.4,0.2,+0.2,+0.51,+0.97
29,Mattia Bani,it ITA,DF,Chievo,24,1993,30,29,2610,29.0,0,0,0,0,0,0,8,1,1.0,1.0,0.8,1.8,4,63,11,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,2018-2019,Italy,13,3,23.1,0.45,0.10,0.00,0.00,12.5,0,0.08,-1.0,-1.0,1026,1278,80.3,20395,8223,346,394,87.8,514,583,88.2,145,252,57.5,0.3,-0.8,4,53,3,1,14,0.48,12,0,0,0,1,0,0.00,0,0,0,0,0,0,67,40,46,21,0,27,67.5,13,51,16,57,124,162,2,1647,236,21,1647,1,50.0,1,50.0,781,1,14,7,927,1,31,2,5,0,1,1,132,90,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,23,27,0,0,0,87,76.3,89,26,1,38,3,0.60,19,48,-29,-1.00,+1.33,28.1,44.7,-16.5,-0.57,+0.29
