Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Season,League,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,2CrdY,Fls,Off,Crs,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Dead,TB,Sw,TI,In,Out,Str,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
1.0,Abner,br BRA,DF,Atl Paranaense,21.0,2000.0,28.0,25.0,2106.0,23.4,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.2,1.2,2.2,3.4,29.0,139.0,68.0,0.04,0.09,0.13,0.04,0.13,0.05,0.09,0.15,0.05,0.15,Matches,2022.0,Brazil,13.0,3.0,23.1,0.56,0.13,0.08,0.33,21.0,0.0,0.09,-0.2,-0.2,986.0,1283.0,76.9,17089.0,6919.0,469.0,533.0,88.0,412.0,517.0,79.7,91.0,181.0,50.3,1.7,-0.2,31.0,105.0,16.0,6.0,56.0,2.39,45.0,4.0,2.0,0.0,4.0,6.0,0.26,4.0,1.0,0.0,1.0,0.0,0.0,43.0,28.0,26.0,14.0,3.0,24.0,63.2,14.0,18.0,15.0,39.0,82.0,54.0,0.0,1480.0,84.0,23.0,1480.0,9.0,60.0,6.0,40.0,717.0,5.0,17.0,12.0,812.0,0.0,26.0,1.0,49.0,0.0,0.0,0.0,149.0,21.0,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.0,1.0,7.0,229.0,2.0,3.0,0.0,75.0,61.6,83.0,19,3,8.0,3,1.54,30.0,30.0,0.0,0.0,0.0,29.8,32.6,-2.7,-0.12,-0.21
2.0,Adryelson,br BRA,DF,Botafogo (RJ),23.0,1998.0,17.0,16.0,1446.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.3,1.6,3.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,Matches,2022.0,Brazil,15.0,4.0,26.7,0.93,0.25,0.0,0.0,10.9,0.0,0.08,-1.2,-1.2,540.0,662.0,81.6,10461.0,4038.0,184.0,208.0,88.5,285.0,327.0,87.2,56.0,93.0,60.2,0.1,-0.3,3.0,15.0,0.0,0.0,11.0,0.68,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,14.0,3.0,0.0,8.0,80.0,2.0,18.0,6.0,22.0,39.0,99.0,0.0,857.0,141.0,25.0,857.0,2.0,100.0,0.0,0.0,410.0,1.0,6.0,0.0,462.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,56.0,76.0,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0,5.0,4.0,0.0,0.0,0.0,85.0,42.3,89.0,14,1,26.0,2,1.65,21.0,17.0,4.0,0.25,0.52,18.4,18.1,0.3,0.02,0.45
3.0,Adson,br BRA,"FW,MF",Corinthians,21.0,2000.0,25.0,13.0,1239.0,13.8,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.6,2.6,0.8,3.4,56.0,72.0,109.0,0.22,0.0,0.22,0.22,0.22,0.19,0.06,0.25,0.19,0.25,Matches,2022.0,Brazil,27.0,8.0,29.6,1.96,0.58,0.11,0.38,18.5,0.0,0.1,0.4,0.4,522.0,633.0,82.5,6877.0,1510.0,318.0,351.0,90.6,158.0,185.0,85.4,15.0,29.0,51.7,1.5,-0.8,14.0,34.0,29.0,2.0,38.0,2.76,30.0,1.0,3.0,1.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,34.0,22.0,15.0,13.0,6.0,12.0,54.5,10.0,18.0,18.0,13.0,47.0,11.0,0.0,820.0,10.0,45.0,820.0,43.0,55.8,29.0,37.7,558.0,13.0,41.0,20.0,655.0,0.0,25.0,3.0,15.0,0.0,0.0,0.0,54.0,8.0,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,2.0,2.0,0.0,1.0,0.0,50.0,36.2,69.0,3,12,29.0,3,1.68,18.0,9.0,9.0,0.65,0.7,15.4,12.2,3.2,0.23,0.37
4.0,Airton,br BRA,FW,Atl Goianiense,22.0,1999.0,33.0,22.0,1738.0,19.3,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,3.8,3.8,2.8,6.6,87.0,29.0,126.0,0.1,0.21,0.31,0.1,0.31,0.19,0.14,0.34,0.19,0.34,Matches,2022.0,Brazil,36.0,13.0,36.1,1.86,0.67,0.06,0.15,17.2,0.0,0.1,-1.8,-1.8,277.0,444.0,62.4,4218.0,1157.0,150.0,197.0,76.1,85.0,128.0,66.4,21.0,46.0,45.7,3.0,1.2,30.0,20.0,17.0,9.0,64.0,3.26,33.0,9.0,9.0,4.0,3.0,10.0,0.51,5.0,0.0,3.0,0.0,2.0,0.0,32.0,24.0,17.0,8.0,7.0,15.0,38.5,24.0,17.0,12.0,10.0,42.0,12.0,0.0,659.0,19.0,71.0,659.0,31.0,50.0,26.0,41.9,380.0,22.0,38.0,24.0,444.0,0.0,33.0,1.0,81.0,0.0,0.0,0.0,60.0,21.0,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,4.0,1.0,3.0,5.0,19.0,0.0,53.0,50.8,65.0,3,11,28.0,2,1.0,24.0,21.0,3.0,0.16,1.28,22.6,25.7,-3.2,-0.16,0.11
5.0,Carlos Alberto,br BRA,"FW,MF",América (MG),19.0,2002.0,6.0,0.0,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.41,0.06,0.47,0.41,0.47,Matches,2022.0,Brazil,7.0,3.0,42.9,4.04,1.73,0.0,0.0,15.7,0.0,0.1,-0.7,-0.7,13.0,24.0,54.2,138.0,29.0,9.0,13.0,69.2,3.0,4.0,75.0,0.0,1.0,0.0,0.0,-0.1,1.0,0.0,0.0,0.0,2.0,1.16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,25.0,3.0,2.0,2.0,4.0,5.0,0.0,1.0,48.0,0.0,9.0,48.0,0.0,0.0,2.0,66.7,28.0,3.0,7.0,3.0,29.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,4.0,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,4.6,,0,6,26.0,10,0.67,0.0,2.0,-2.0,-1.15,-1.21,2.4,3.7,-1.3,-0.73,-0.65
6.0,Yuri Alberto,br BRA,FW,Corinthians,20.0,2001.0,20.0,15.0,1453.0,16.1,8.0,1.0,9.0,8.0,0.0,0.0,4.0,1.0,5.9,5.9,1.6,7.5,28.0,29.0,115.0,0.5,0.06,0.56,0.5,0.56,0.36,0.1,0.46,0.36,0.46,Matches,2022.0,Brazil,49.0,20.0,40.8,3.04,1.24,0.16,0.4,16.3,0.0,0.12,2.1,2.1,255.0,385.0,66.2,3007.0,529.0,170.0,235.0,72.3,58.0,88.0,65.9,1.0,3.0,33.3,1.4,-0.6,17.0,10.0,10.0,1.0,46.0,2.85,32.0,0.0,3.0,4.0,1.0,2.0,0.12,1.0,0.0,0.0,1.0,0.0,0.0,12.0,8.0,1.0,6.0,5.0,6.0,46.2,7.0,15.0,15.0,2.0,14.0,8.0,0.0,597.0,13.0,71.0,597.0,7.0,21.9,21.0,65.6,336.0,9.0,59.0,24.0,472.0,1.0,26.0,7.0,9.0,0.0,0.0,0.0,37.0,37.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,2.0,1.0,0.0,0.0,0.0,73.0,42.5,83.0,12,5,42.0,0,1.8,19.0,16.0,3.0,0.19,-0.04,19.6,16.4,3.2,0.2,0.35
7.0,Ale,br BRA,MF,América (MG),31.0,1990.0,28.0,24.0,1929.0,21.4,2.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,1.9,1.9,1.5,3.4,38.0,144.0,64.0,0.09,0.09,0.19,0.09,0.19,0.09,0.07,0.16,0.09,0.16,Matches,2022.0,Brazil,23.0,5.0,21.7,1.07,0.23,0.09,0.4,17.1,0.0,0.08,0.1,0.1,939.0,1110.0,84.6,16696.0,5100.0,422.0,485.0,87.0,386.0,428.0,90.2,106.0,135.0,78.5,1.4,0.5,21.0,125.0,15.0,3.0,55.0,2.56,43.0,1.0,3.0,4.0,2.0,7.0,0.33,5.0,0.0,0.0,1.0,0.0,1.0,50.0,21.0,20.0,22.0,8.0,19.0,51.4,18.0,32.0,27.0,28.0,78.0,36.0,1.0,1369.0,59.0,31.0,1369.0,14.0,48.3,11.0,37.9,789.0,3.0,43.0,19.0,855.0,0.0,46.0,0.0,23.0,0.0,2.0,0.0,184.0,27.0,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,1.0,10.0,22.0,0.0,0.0,0.0,69.0,56.4,76.0,13,4,29.0,0,1.32,26.0,26.0,0.0,0.0,0.0,26.0,27.7,-1.7,-0.08,0.07
8.0,Alexandre Alemão,br BRA,FW,Internacional,23.0,1998.0,34.0,22.0,2005.0,22.3,8.0,5.0,13.0,8.0,0.0,0.0,3.0,0.0,6.5,6.5,2.4,8.9,38.0,46.0,164.0,0.36,0.22,0.58,0.36,0.58,0.29,0.11,0.4,0.29,0.4,Matches,2022.0,Brazil,49.0,19.0,38.8,2.2,0.85,0.16,0.42,14.3,0.0,0.13,1.5,1.5,298.0,455.0,65.5,4212.0,924.0,175.0,230.0,76.1,89.0,131.0,67.9,17.0,25.0,68.0,1.9,2.6,21.0,24.0,19.0,3.0,66.0,2.96,35.0,0.0,14.0,12.0,1.0,15.0,0.67,8.0,0.0,3.0,1.0,3.0,0.0,22.0,11.0,1.0,14.0,7.0,12.0,48.0,13.0,20.0,17.0,4.0,26.0,11.0,0.0,750.0,11.0,115.0,750.0,58.0,70.7,19.0,23.2,480.0,23.0,107.0,52.0,602.0,0.0,56.0,2.0,12.0,3.0,0.0,0.0,47.0,53.0,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,2.0,4.0,0.0,0.0,0.0,0.0,59.0,58.6,75.0,2,12,30.0,1,1.91,38.0,16.0,22.0,0.99,0.67,34.6,25.1,9.5,0.43,0.35
9.0,Alerrandro,br BRA,FW,Bragantino,22.0,2000.0,20.0,11.0,929.0,10.3,6.0,1.0,7.0,6.0,0.0,0.0,3.0,0.0,5.4,5.4,0.7,6.1,5.0,8.0,55.0,0.58,0.1,0.68,0.58,0.68,0.52,0.07,0.59,0.52,0.59,Matches,2022.0,Brazil,41.0,18.0,43.9,3.97,1.74,0.15,0.33,14.6,0.0,0.13,0.6,0.6,116.0,149.0,77.9,1609.0,196.0,66.0,78.0,84.6,40.0,48.0,83.3,3.0,5.0,60.0,0.7,0.3,7.0,4.0,3.0,1.0,25.0,2.42,15.0,0.0,1.0,4.0,0.0,3.0,0.29,1.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,28.6,5.0,10.0,8.0,4.0,8.0,8.0,0.0,270.0,9.0,49.0,270.0,5.0,55.6,4.0,44.4,160.0,1.0,27.0,15.0,181.0,0.0,11.0,5.0,2.0,0.0,0.0,0.0,20.0,10.0,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,3.0,0.0,0.0,0.0,0.0,0.0,46.0,27.2,62.0,1,9,28.0,3,1.1,15.0,14.0,1.0,0.1,0.49,16.5,12.0,4.5,0.43,0.48
10.0,Alesson,br BRA,"MF,FW",Cuiabá,22.0,1999.0,21.0,11.0,1024.0,11.4,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.6,2.6,1.3,3.9,31.0,29.0,101.0,0.18,0.0,0.18,0.18,0.18,0.23,0.12,0.35,0.23,0.35,Matches,2022.0,Brazil,22.0,9.0,40.9,1.93,0.79,0.09,0.22,15.6,0.0,0.12,-0.6,-0.6,192.0,278.0,69.1,2793.0,855.0,115.0,147.0,78.2,64.0,85.0,75.3,7.0,17.0,41.2,0.7,-1.3,15.0,10.0,9.0,3.0,28.0,2.46,19.0,0.0,5.0,1.0,0.0,3.0,0.26,0.0,0.0,1.0,1.0,1.0,0.0,19.0,9.0,8.0,8.0,3.0,11.0,33.3,22.0,20.0,19.0,3.0,22.0,3.0,0.0,439.0,4.0,37.0,439.0,19.0,37.3,31.0,60.8,274.0,7.0,24.0,21.0,300.0,0.0,18.0,0.0,33.0,0.0,0.0,0.0,41.0,16.0,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,2.0,0.0,1.0,0.0,49.0,29.9,67.0,0,10,29.0,5,1.05,12.0,10.0,2.0,0.18,0.66,14.5,11.2,3.2,0.28,0.66
11.0,Alex,br BRA,DF,Santos,22.0,1999.0,4.0,4.0,335.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,6.0,0.0,0.27,0.0,0.27,0.27,0.27,0.05,0.0,0.05,0.05,0.05,Matches,2022.0,Brazil,2.0,2.0,100.0,0.54,0.54,0.5,0.5,9.5,0.0,0.08,0.8,0.8,142.0,163.0,87.1,2531.0,754.0,59.0,64.0,92.2,74.0,83.0,89.2,7.0,14.0,50.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,3.0,75.0,1.0,8.0,0.0,8.0,12.0,15.0,0.0,207.0,39.0,2.0,207.0,0.0,0.0,0.0,0.0,128.0,0.0,3.0,1.0,130.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,9.8,84.0,3,0,,7,1.0,4.0,6.0,-2.0,-0.54,-0.68,2.8,4.9,-2.1,-0.56,-0.57
12.0,Caio Alexandre,br BRA,MF,Fortaleza,22.0,1999.0,12.0,11.0,994.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.8,0.8,0.4,1.1,28.0,69.0,16.0,0.09,0.0,0.09,0.09,0.09,0.07,0.03,0.1,0.07,0.1,Matches,2022.0,Brazil,6.0,1.0,16.7,0.54,0.09,0.17,1.0,21.5,0.0,0.13,0.2,0.2,489.0,579.0,84.5,8960.0,2953.0,198.0,213.0,93.0,239.0,271.0,88.2,46.0,76.0,60.5,0.6,-0.4,9.0,57.0,5.0,0.0,28.0,2.54,27.0,0.0,1.0,0.0,0.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0,39.0,22.0,19.0,17.0,3.0,21.0,51.2,20.0,14.0,10.0,11.0,50.0,14.0,0.0,707.0,24.0,9.0,707.0,3.0,37.5,3.0,37.5,437.0,2.0,16.0,5.0,461.0,1.0,23.0,0.0,5.0,0.0,0.0,0.0,82.0,5.0,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,2.0,6.0,2.0,0.0,0.0,0.0,83.0,29.1,86.0,8,1,45.0,3,2.0,22.0,11.0,11.0,1.0,1.14,15.5,12.1,3.4,0.31,0.38
13.0,Matheus Alexandre,br BRA,DF,Coritiba,22.0,1999.0,21.0,16.0,1400.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.6,0.6,30.0,53.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2022.0,Brazil,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,590.0,702.0,84.0,9559.0,3321.0,305.0,328.0,93.0,237.0,270.0,87.8,39.0,64.0,60.9,0.9,-0.6,10.0,35.0,13.0,12.0,23.0,1.48,20.0,2.0,0.0,1.0,0.0,2.0,0.13,1.0,0.0,0.0,0.0,1.0,0.0,35.0,22.0,25.0,9.0,1.0,23.0,65.7,12.0,16.0,8.0,30.0,65.0,36.0,0.0,868.0,56.0,7.0,868.0,10.0,55.6,8.0,44.4,451.0,1.0,17.0,5.0,469.0,0.0,18.0,1.0,39.0,0.0,0.0,0.0,72.0,22.0,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,0.0,3.0,118.0,0.0,0.0,0.0,67.0,40.9,78.0,9,5,29.0,3,1.1,15.0,24.0,-9.0,-0.58,-0.04,21.6,20.7,0.9,0.06,0.6
14.0,Alexsander,br BRA,DF,Fluminense,18.0,2003.0,3.0,2.0,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,9.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.01,0.07,Matches,2022.0,Brazil,2.0,1.0,50.0,0.8,0.4,0.0,0.0,31.6,0.0,0.01,0.0,0.0,115.0,138.0,83.3,1526.0,596.0,64.0,73.0,87.7,34.0,42.0,81.0,4.0,6.0,66.7,0.1,-0.1,4.0,8.0,2.0,1.0,6.0,2.4,5.0,0.0,0.0,0.0,0.0,2.0,0.8,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,3.0,0.0,2.0,3.0,50.0,3.0,5.0,5.0,6.0,11.0,2.0,0.0,179.0,9.0,5.0,179.0,4.0,30.8,6.0,46.2,108.0,3.0,2.0,6.0,101.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,14.0,2.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0.0,2.0,17.0,0.0,0.0,0.0,75.0,6.6,90.0,2,1,45.0,3,3.0,7.0,0.0,7.0,2.8,2.38,3.7,1.5,2.2,0.87,0.66
15.0,Alisson,br BRA,"MF,FW",São Paulo,28.0,1993.0,15.0,10.0,943.0,10.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.9,2.1,29.0,55.0,71.0,0.1,0.1,0.19,0.1,0.19,0.12,0.09,0.2,0.12,0.2,Matches,2022.0,Brazil,17.0,6.0,35.3,1.62,0.57,0.06,0.17,18.8,0.0,0.07,-0.2,-0.2,372.0,451.0,82.5,5456.0,1570.0,214.0,231.0,92.6,121.0,150.0,80.7,21.0,32.0,65.6,1.7,0.1,12.0,39.0,19.0,10.0,30.0,2.86,25.0,2.0,1.0,0.0,0.0,6.0,0.57,6.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,4.0,9.0,2.0,10.0,45.5,12.0,10.0,9.0,5.0,20.0,8.0,0.0,539.0,11.0,27.0,539.0,5.0,41.7,4.0,33.3,334.0,6.0,10.0,15.0,410.0,0.0,14.0,0.0,33.0,0.0,0.0,0.0,42.0,10.0,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,1.0,11.0,2.0,2.0,0.0,63.0,27.6,80.0,3,5,28.0,2,1.73,17.0,8.0,9.0,0.86,0.71,15.1,11.4,3.7,0.35,0.3
16.0,Allan,br BRA,MF,Atlético Mineiro,24.0,1997.0,33.0,31.0,2733.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.9,0.9,1.0,1.9,51.0,201.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2022.0,Brazil,34.0,12.0,35.3,1.12,0.4,0.0,0.0,28.6,0.0,0.03,-0.9,-0.9,1772.0,2081.0,85.2,33404.0,9761.0,736.0,805.0,91.4,805.0,890.0,90.4,210.0,331.0,63.4,1.7,-1.0,19.0,226.0,21.0,1.0,49.0,1.61,42.0,1.0,0.0,1.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,47.0,30.0,21.0,21.0,5.0,24.0,48.0,26.0,24.0,17.0,25.0,72.0,44.0,1.0,2310.0,84.0,9.0,2310.0,22.0,62.9,11.0,31.4,1494.0,1.0,28.0,9.0,1765.0,0.0,47.0,1.0,11.0,0.0,1.0,0.0,168.0,16.0,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,0.0,24.0,12.0,0.0,0.0,0.0,83.0,79.9,87.0,26,2,17.0,1,1.42,31.0,33.0,-2.0,-0.07,-1.38,42.6,27.5,15.2,0.5,-0.18
17.0,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29.0,1993.0,2.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,2022.0,Brazil,1.0,0.0,0.0,1.0,0.0,0.0,,13.5,0.0,0.06,-0.1,-0.1,32.0,42.0,76.2,542.0,141.0,17.0,20.0,85.0,12.0,15.0,80.0,3.0,6.0,50.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,33.3,2.0,2.0,2.0,2.0,4.0,1.0,0.0,51.0,2.0,1.0,51.0,2.0,100.0,0.0,0.0,29.0,1.0,2.0,0.0,28.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,10.0,0.0,0.0,0.0,45.0,2.6,69.0,0,1,21.0,7,0.5,0.0,2.0,-2.0,-2.0,-1.78,0.5,1.4,-0.9,-0.9,-1.01
18.0,Henrique Almeida,br BRA,FW,América (MG),30.0,1991.0,28.0,21.0,1497.0,16.6,6.0,0.0,6.0,6.0,0.0,1.0,7.0,0.0,6.7,6.0,1.3,7.3,17.0,37.0,89.0,0.36,0.0,0.36,0.36,0.36,0.41,0.08,0.49,0.36,0.44,Matches,2022.0,Brazil,55.0,23.0,41.8,3.31,1.38,0.11,0.26,16.0,0.0,0.11,-0.7,0.0,250.0,344.0,72.7,3383.0,564.0,144.0,184.0,78.3,70.0,91.0,76.9,14.0,20.0,70.0,1.5,-1.3,10.0,23.0,10.0,1.0,44.0,2.65,25.0,0.0,4.0,3.0,1.0,4.0,0.24,1.0,0.0,0.0,0.0,2.0,1.0,18.0,11.0,4.0,9.0,5.0,4.0,26.7,11.0,7.0,7.0,3.0,21.0,9.0,0.0,554.0,10.0,79.0,553.0,20.0,47.6,19.0,45.2,303.0,9.0,48.0,38.0,390.0,0.0,38.0,13.0,5.0,1.0,0.0,0.0,40.0,24.0,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,1.0,2.0,2.0,0.0,0.0,0.0,53.0,43.8,65.0,1,7,19.0,7,1.5,18.0,15.0,3.0,0.18,0.32,20.0,21.8,-1.8,-0.11,0.0
19.0,Júnior Alonso,py PAR,DF,Atlético Mineiro,28.0,1993.0,31.0,30.0,2598.0,28.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,2.4,2.9,17.0,147.0,14.0,0.0,0.07,0.07,0.0,0.07,0.02,0.08,0.1,0.02,0.1,Matches,2022.0,Brazil,12.0,1.0,8.3,0.42,0.03,0.0,0.0,18.2,0.0,0.04,-0.5,-0.5,1872.0,2141.0,87.4,36147.0,12775.0,636.0,691.0,92.0,986.0,1081.0,91.2,222.0,312.0,71.2,1.5,-0.4,11.0,125.0,13.0,2.0,31.0,1.07,30.0,0.0,0.0,0.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,17.0,6.0,1.0,13.0,44.8,16.0,28.0,11.0,28.0,52.0,66.0,0.0,2320.0,271.0,37.0,2320.0,9.0,90.0,1.0,10.0,1378.0,1.0,9.0,4.0,1625.0,0.0,17.0,1.0,7.0,0.0,2.0,0.0,148.0,76.0,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,0.0,12.0,21.0,0.0,0.0,0.0,84.0,76.0,85.0,27,1,45.0,2,1.48,31.0,30.0,1.0,0.03,-0.73,40.1,27.0,13.1,0.45,-0.34
20.0,Diego Alves,br BRA,GK,Flamengo,36.0,1985.0,5.0,5.0,424.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022.0,Brazil,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,97.0,103.0,94.2,2263.0,1607.0,28.0,28.0,100.0,39.0,39.0,100.0,28.0,34.0,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,94.0,0.0,108.0,0.0,,0.0,,64.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,8.0,1.7,17.0,9.0,58.8,2.0,0.0,3.0,1.0,20.0,1.0,0.0,0.0,0.0,1.0,6.7,0.34,-1.3,-0.28,14.0,21.3,26.6,7.1,19.3,49.0,3.0,6.1,1.0,0.21,14.7,28.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,12.4,85.0,4,0,,15,1.2,7.0,8.0,-1.0,-0.21,-0.87,6.0,5.4,0.6,0.12,-0.75
